"id","accession number","title","who","image","when","date","numTags"
14428,"2006.235.26","Portrait of a Lady","John Carlin","http://images.metmuseum.org/CRDImages/ap/original/APS6782.jpg","A.D. 1800-1900","ca. 1850",1
14522,"2006.235.164","Portrait of a Gentleman","Nathaniel Rogers","http://images.metmuseum.org/CRDImages/ap/original/APS6541.jpg","A.D. 1800-1900","ca. 1835",1
14997,"2006.235.281","Portrait of a Lady","Daniel F. Ames","http://images.metmuseum.org/CRDImages/ap/original/APS6898.jpg","A.D. 1800-1900","1840–50",1
15008,"2006.235.251","Portrait of a Gentleman","William Russell Birch","http://images.metmuseum.org/CRDImages/ap/original/APS6774.jpg",,,1
15009,"2006.235.308","Portrait of a Lady","David Boudon","http://images.metmuseum.org/CRDImages/ap/original/SFcs235308a.jpg",,,1
15016,"2006.235.24","Portrait of a Gentleman","John Carlin","http://images.metmuseum.org/CRDImages/ap/original/APS6760.jpg","A.D. 1800-1900","1854",1
15018,"2006.235.28","Portrait of a Gentleman","George Catlin","http://images.metmuseum.org/CRDImages/ap/original/APS6805.jpg","A.D. 1800-1900","ca. 1835",1
15026,"2006.235.32","Self-portrait miniature","John Singleton Copley","http://images.metmuseum.org/CRDImages/ap/original/DP161508.jpg","A.D. 1600-1800","1769",1
15031,"2006.235.7","Portrait of a Gentleman","Thomas Seir Cummings","http://images.metmuseum.org/CRDImages/ap/original/APS6591.jpg","A.D. 1800-1900","1840–45",1
15032,"2006.235.36","Portrait of a Gentleman","Thomas Seir Cummings","http://images.metmuseum.org/CRDImages/ap/original/APS6817.jpg","A.D. 1800-1900","1825–30",1
15033,"2006.235.37","Portrait of a Gentleman","Thomas Dawson","http://images.metmuseum.org/CRDImages/ap/original/APS6818.jpg","A.D. 1800-1900","1844",1
15036,"2006.235.40","Portrait of a Gentleman","Anson Dickinson","http://images.metmuseum.org/CRDImages/ap/original/APS6822.jpg","A.D. 1800-1900","1838",1
15052,"2006.235.58","Portrait of a Gentleman","William M. S. Doyle","http://images.metmuseum.org/CRDImages/ap/original/APS6840.jpg","A.D. 1800-1900","1808",1
15053,"2006.235.60","Portrait of a Gentleman","William M. S. Doyle","http://images.metmuseum.org/CRDImages/ap/original/APS6842.jpg","A.D. 1800-1900","1814",1
15063,"2006.235.68","Portrait of a Boy","Augustus Fuller","http://images.metmuseum.org/CRDImages/ap/original/APS6849.jpg","A.D. 1800-1900",,1
15064,"2006.235.284","Portrait of a Gentleman","Eliza Goodridge","http://images.metmuseum.org/CRDImages/ap/original/APS6917.jpg","A.D. 1800-1900","ca. 1829",1
15065,"2006.235.285","Portrait of a Lady","Eliza Goodridge","http://images.metmuseum.org/CRDImages/ap/original/APS6918.jpg","A.D. 1800-1900","1829",1
15066,"2006.235.71","Portrait of a Boy","Eliza Goodridge","http://images.metmuseum.org/CRDImages/ap/original/APS6853.jpg","A.D. 1800-1900","ca. 1829",1
15069,"2006.235.72","Portrait of a Gentleman","Sarah Goodridge","http://images.metmuseum.org/CRDImages/ap/original/APS6854.jpg","A.D. 1800-1900","ca. 1825",1
15087,"2006.235.92","Portrait of a Lady","Charles Cromwell Ingham","http://images.metmuseum.org/CRDImages/ap/original/DP162130.jpg","A.D. 1800-1900","ca. 1836–38",1
15092,"2006.235.96","Portrait of a Gentleman",,"http://images.metmuseum.org/CRDImages/ap/original/APS6881.jpg","A.D. 1800-1900","ca. 1840",1
15095,"2006.235.287","Portrait of a Gentleman","Emanuel Leutze","http://images.metmuseum.org/CRDImages/ap/original/APS6920.jpg","A.D. 1800-1900","ca. 1839",1
15098,"2006.235.250","Portrait of a Gentleman","William Lewis","http://images.metmuseum.org/CRDImages/ap/original/APS6773.jpg","A.D. 1800-1900","ca. 1835",1
15106,"2006.235.107","Portrait of a Lady","Edward Dalton Marchant","http://images.metmuseum.org/CRDImages/ap/original/DP217031.jpg","A.D. 1800-1900","1842",1
15107,"2006.235.108","Portrait of a Boy","John Alexander McDougall","http://images.metmuseum.org/CRDImages/ap/original/APS6611.jpg","A.D. 1800-1900",,1
15109,"2006.235.307","Portrait of a Gentleman","John Alexander McDougall","http://images.metmuseum.org/CRDImages/ap/original/APS6709.jpg","A.D. 1800-1900",,1
15115,"2006.235.304a","Portrait of a Gentleman","Edward Miles","http://images.metmuseum.org/CRDImages/ap/original/Sfcs235304a.jpg",,,1
15122,"2006.235.117","Portrait of a Gentleman","Anna Claypoole Peale","http://images.metmuseum.org/CRDImages/ap/original/APS6621.jpg",,,1
15134,"2006.235.133","Self-portrait","James Peale","http://images.metmuseum.org/CRDImages/ap/original/DP169296.jpg","A.D. 1600-1800","1789",1
15135,"2006.235.141","Portrait of a Gentleman","James Peale","http://images.metmuseum.org/CRDImages/ap/original/APS6649.jpg","A.D. 1600-1800","1791",1
15141,"2006.235.142","Portrait of a Gentleman","James Peale","http://images.metmuseum.org/CRDImages/ap/original/APS6650.jpg","A.D. 1600-1800","1799",1
15155,"2006.235.153","Portrait of a Gentleman","Edward Crowell Potter","http://images.metmuseum.org/CRDImages/ap/original/DP217028.jpg","A.D. 1800-1900",,1
15157,"2006.235.155","Portrait of a Gentleman","John Ramage","http://images.metmuseum.org/CRDImages/ap/original/APS6664.jpg","A.D. 1600-1800","ca. 1780",1
15161,"2006.235.158","Portrait of a Gentleman","Archibald Robertson","http://images.metmuseum.org/CRDImages/ap/original/APS6667.jpg",,"ca. 1795",1
15162,"2006.235.159","Portrait of a Gentleman","Walter Robertson","http://images.metmuseum.org/CRDImages/ap/original/APS6923.jpg","A.D. 1600-1800","ca. 1794",1
