"id","accession number","title","who","image"
15109,"2006.235.307","Portrait of a Gentleman","John Alexander McDougall","http://images.metmuseum.org/CRDImages/ap/original/APS6709.jpg"
15115,"2006.235.304a","Portrait of a Gentleman","Edward Miles","http://images.metmuseum.org/CRDImages/ap/original/Sfcs235304a.jpg"
15122,"2006.235.117","Portrait of a Gentleman","Anna Claypoole Peale","http://images.metmuseum.org/CRDImages/ap/original/APS6621.jpg"
15134,"2006.235.133","Self-portrait","James Peale","http://images.metmuseum.org/CRDImages/ap/original/DP169296.jpg"
15135,"2006.235.141","Portrait of a Gentleman","James Peale","http://images.metmuseum.org/CRDImages/ap/original/APS6649.jpg"
15141,"2006.235.142","Portrait of a Gentleman","James Peale","http://images.metmuseum.org/CRDImages/ap/original/APS6650.jpg"
15155,"2006.235.153","Portrait of a Gentleman","Edward Crowell Potter","http://images.metmuseum.org/CRDImages/ap/original/DP217028.jpg"
15157,"2006.235.155","Portrait of a Gentleman","John Ramage","http://images.metmuseum.org/CRDImages/ap/original/APS6664.jpg"
15161,"2006.235.158","Portrait of a Gentleman","Archibald Robertson","http://images.metmuseum.org/CRDImages/ap/original/APS6667.jpg"
15162,"2006.235.159","Portrait of a Gentleman","Walter Robertson","http://images.metmuseum.org/CRDImages/ap/original/APS6923.jpg"
15168,"2006.235.224","Portrait of a Girl","Nathaniel Rogers","http://images.metmuseum.org/CRDImages/ap/original/APS6703.jpg"
15169,"2006.235.170","Portrait of a Gentleman","Nathaniel Rogers","http://images.metmuseum.org/CRDImages/ap/original/APS6680.jpg"
15174,"2006.235.176","Portrait of a Gentleman","Moses . Russell","http://images.metmuseum.org/CRDImages/ap/original/APS6686.jpg"
15175,"2006.235.236","Portrait of a Gentleman","Moses . Russell","http://images.metmuseum.org/CRDImages/ap/original/APS6706.jpg"
15177,"2006.235.295","Portrait of a Lady","Moses . Russell","http://images.metmuseum.org/CRDImages/ap/original/APS6904.jpg"
15178,"2006.235.296","Portrait of a Lady","Moses . Russell","http://images.metmuseum.org/CRDImages/ap/original/APS6905.jpg"
15179,"2006.235.173","Portrait of a Lady","Moses . Russell","http://images.metmuseum.org/CRDImages/ap/original/APS6683.jpg"
15185,"2006.235.183","Portrait of a Lady","William Harrison Scarborough","http://images.metmuseum.org/CRDImages/ap/original/APS6694.jpg"
15196,"2006.235.196","Portrait of a Lady",,"http://images.metmuseum.org/CRDImages/ap/original/DP217067.jpg"
15201,"2006.235.202","Portrait of a Lady","Thomas Sully","http://images.metmuseum.org/CRDImages/ap/original/APS6725.jpg"
15205,"2006.235.204","Portrait of a Lady","William John Thomson","http://images.metmuseum.org/CRDImages/ap/original/APS6727.jpg"
15213,"2006.235.210","Portrait of a Gentleman",,"http://images.metmuseum.org/CRDImages/ap/original/APS6734.jpg"
15215,"2006.235.248","Portrait of a Lady",,"http://images.metmuseum.org/CRDImages/ap/original/APS6770.jpg"
