"id","accession number","title","who","image"
19322,"58.157","The Masquerade Dress","Robert Henri","http://images.metmuseum.org/CRDImages/ap/original/DT1362.jpg"
193602,"17.190.630","Standing cup","Wolff Christoff Ritter","http://images.metmuseum.org/CRDImages/es/original/DP143692.jpg"
193706,"17.190.965","Pendant (one of a pair)",,"http://images.metmuseum.org/CRDImages/es/original/DP154238.jpg"
193707,"17.190.966","Pendant (one of a pair)",,"http://images.metmuseum.org/CRDImages/es/original/DP156275.jpg"
19376,"2006.444","Portrait of a Boy",,"http://images.metmuseum.org/CRDImages/ap/original/DP146262.jpg"
194002,"17.190.1408","Boy Saint John","Giovanni della Robbia","http://images.metmuseum.org/CRDImages/es/original/87897171.jpg"
19431,"2007.19","Portrait of a Man","Gerrit Schipper","http://images.metmuseum.org/CRDImages/ap/original/6212006.jpg"
194448,"17.190.2103","Child",,"http://images.metmuseum.org/CRDImages/es/original/40282.jpg"
194523,"18.70.26","Saint Antonino, Dominican Archbishop of Florence (b. 1389, archbishop 1446, d. 1459)","Giovanni della Robbia","http://images.metmuseum.org/CRDImages/es/original/40434.jpg"
194545,"19.29","Bust of a man","Joseph Chinard","http://images.metmuseum.org/CRDImages/es/original/DP224282.jpg"
194652,"21.22","Virgin Mary (probably)","Mino da Fiesole (Mino di Giovanni)","http://images.metmuseum.org/CRDImages/es/original/47526.jpg"
194671,"21.59","Luisa Deti (d. 1557)","Ippolito Buzio","http://images.metmuseum.org/CRDImages/es/original/ES705.jpg"
195072,"24.77","The American Soldier","Sir Jacob Epstein","http://images.metmuseum.org/CRDImages/es/original/119597.jpg"
195314,"25.99","Bacchante with vine leaves","Jean-Baptiste Carpeaux","http://images.metmuseum.org/CRDImages/es/original/172224.jpg"
195377,"25.142.27","Borso d'Este, First Duke of Ferrara","Petrecino of Florence","http://images.metmuseum.org/CRDImages/es/original/61744.jpg"
195458,"26.101.8","Child","Pierino da Vinci","http://images.metmuseum.org/CRDImages/es/original/63472.jpg"
195533,"26.260.26","Louis XVI (1754–1793, r. 1774–93)",["Sèvres Manufactory","Jean-Etienne Mascret"],"http://images.metmuseum.org/CRDImages/es/original/66040.jpg"
196030,"27.185.280","Beaker",,"http://images.metmuseum.org/CRDImages/es/original/69610.jpg"
196378,"28.193","Louis Nicolas Victor de Félix, Comte du Muy and Marshal of France (1711–1775)","Jean Jacques Caffiéri","http://images.metmuseum.org/CRDImages/es/original/ES4754.jpg"
196382,"28.217.3","Portrait of a lady",,"http://images.metmuseum.org/CRDImages/es/original/ES7750.jpg"
196482,"29.100.413","Study for a portrait of Mathilde Salle","Edgar Degas","http://images.metmuseum.org/CRDImages/es/original/76493.jpg"
196696,"30.135.13","Bust of a man",,"http://images.metmuseum.org/CRDImages/es/original/81174.jpg"
196773,"31.33.155","To Commemorate the Pazzi Conspiracy, 1478.","Bertoldo di Giovanni","http://images.metmuseum.org/CRDImages/es/original/82443.jpg"
197107,"32.100.251","Portrait of Jeanne de Genouillac",,"http://images.metmuseum.org/CRDImages/es/original/150680.jpg"
19719,"2007.362a, b","Joseph Barrell, Jr. (1765-1801)","Nathaniel Hancock","http://images.metmuseum.org/CRDImages/ap/original/DP157092.jpg"
197226,"32.100.378","The Eagle of Sestos","Fra Xanto Avelli da Rovigo","http://images.metmuseum.org/CRDImages/es/original/DP154243.jpg"
197475,"34.91","Félicité Sophie de Lannion, Duchesse de La Rochefoucauld, at the Age of 29 Years (1745–1830)","Jean-Baptiste Lemoyne the Younger","http://images.metmuseum.org/CRDImages/es/original/ES5995.jpg"
197498,"34.165.22","Portrait of Dr. Henry Sacheverell",,"http://images.metmuseum.org/CRDImages/es/original/ES1076.jpg"
19773,"2008.97","Portrait of a Lady","Frederick R. Spencer","http://images.metmuseum.org/CRDImages/ap/original/DP162981.jpg"
197820,"36.159.2","Charles I",,"http://images.metmuseum.org/CRDImages/es/original/DP159496.jpg"
198165,"38.145.38","Marie Louise (1791–1847), Empress of the French, Second Wife of Napoleon Bonaparte","Giovanni Antonio Santarelli","http://images.metmuseum.org/CRDImages/es/original/116281.jpg"
198179,"38.145.145","Portrait of a man",,"http://images.metmuseum.org/CRDImages/es/original/130331.jpg"
198244,"38.145.215","Portrait medallion",,"http://images.metmuseum.org/CRDImages/es/original/130368.jpg"
198275,"38.150.14","Head of Hercules with the lion's skin and bust of Omphale",,"http://images.metmuseum.org/CRDImages/es/original/SF38_150_14_img1.jpg"
198281,"38.150.20","Bust of a woman",,"http://images.metmuseum.org/CRDImages/es/original/120902.jpg"
198285,"38.150.24","Head of a maiden",,"http://images.metmuseum.org/CRDImages/es/original/117547.jpg"
198337,"39.22.13","Bust of the Emperor Vespasian (Titus Flavius Vespasianus, 9-79)",,"http://images.metmuseum.org/CRDImages/es/original/SF39_22_13.jpg"
198340,"39.22.16","Head of a youth and Agnus Dei with arms of Paul V (Camillo Borghese, Pope 1605-1621)",,"http://images.metmuseum.org/CRDImages/es/original/SF39_22_16_img1.jpg"
198356,"39.22.32","Head of Jupiter",,"http://images.metmuseum.org/CRDImages/es/original/SF39_22_32.jpg"
198365,"39.22.41","Confronted busts of the Emperor Hadrian (Publius Aelius Hadrianus, 76-138) and his favorite, Antinous (d. 130)",,"http://images.metmuseum.org/CRDImages/es/original/SF39_22_41.jpg"
198369,"39.22.45","Jugate portrait of a couple in Roman style","Giovanni Pichler","http://images.metmuseum.org/CRDImages/es/original/SF39_22_45_img1.jpg"
198558,"39.180.2","Portrait of a man",,"http://images.metmuseum.org/CRDImages/es/original/120058.jpg"
198569,"40.14.2a, b","Bust of Christ",,"http://images.metmuseum.org/CRDImages/es/original/120289.jpg"
198605,"40.20.24","Bust of Jupiter",,"http://images.metmuseum.org/CRDImages/es/original/SF40_20_24.jpg"
198617,"40.20.36","Bust of a young woman","Giuseppe Girometti","http://images.metmuseum.org/CRDImages/es/original/SF40_20_36.jpg"
198625,"40.20.44","Bust of a bacchante","Nicola Morelli","http://images.metmuseum.org/CRDImages/es/original/SF40_20_44.jpg"
198713,"41.78","Catherine II of Russia","Philippe de Lasalle","http://images.metmuseum.org/CRDImages/es/original/123886.jpg"
198759,"41.100.237","Boy holding a dog","Tommaso Fiamberti","http://images.metmuseum.org/CRDImages/es/original/124686.jpg"
198760,"41.100.238","Saint John the Baptist","Antonio Rossellino","http://images.metmuseum.org/CRDImages/es/original/219354.jpg"
198765,"41.100.243","Louis of France, Grand Dauphin (1661–1711)","François Girardon","http://images.metmuseum.org/CRDImages/es/original/124689(D.jpg"
198766,"41.100.244","Louis XV (1710–1774), King of France",["Jean-Baptiste Lemoyne the Younger","Mme de Pompadour"],"http://images.metmuseum.org/CRDImages/es/original/DP217996.jpg"
199000,"41.190.479","Bust of a gentleman in contemporary dress",,"http://images.metmuseum.org/CRDImages/es/original/130212.jpg"
199091,"42.76.24","Coenraad Jacob Temminck",["Josiah Wedgwood  Sons","Josiah Wedgwood"],"http://images.metmuseum.org/CRDImages/es/original/128583_.jpg"
199094,"42.76.27","Frederick Augustus, Duke of York",["Josiah Wedgwood  Sons","Josiah Wedgwood"],"http://images.metmuseum.org/CRDImages/es/original/128586.jpg"
199098,"42.76.31","Warren Hastings",["Josiah Wedgwood  Sons","Josiah Wedgwood"],"http://images.metmuseum.org/CRDImages/es/original/128590.jpg"
199101,"42.76.35","Ferdinand, Duke of Brunswick",["Josiah Wedgwood  Sons","Josiah Wedgwood"],"http://images.metmuseum.org/CRDImages/es/original/128593.jpg"
199671,"45.128.2","George Washington",["Charles Willson Peale","Louis Jacques Pilon"],"http://images.metmuseum.org/CRDImages/es/original/135250.jpg"
199721,"46.85.14","Storage jar (Albarello) with profile portrait",,"http://images.metmuseum.org/CRDImages/es/original/DP269836.jpg"
199733,"46.85.26","Two-handled storage jar with the Orsini arms and the profile head of a man",,"http://images.metmuseum.org/CRDImages/es/original/136538.jpg"
199763,"46.123.1","Unidentified woman","Jean-Baptiste Lemoyne the Younger","http://images.metmuseum.org/CRDImages/es/original/136999.jpg"
200152,"48.187.120a, b","Box (one of a pair) (part of a toilet service)","Jean-Baptiste Boullemer","http://images.metmuseum.org/CRDImages/es/original/146011.jpg"
200564,"49.7.70","Madame de Pompadour (1721–1764)","Jean-Baptiste Pigalle","http://images.metmuseum.org/CRDImages/es/original/DP221962.jpg"
200565,"49.7.71a–c","Portrait of a girl",,"http://images.metmuseum.org/CRDImages/es/original/147767.jpg"
200567,"49.7.73","Geneviève-Françoise Randon de Malboissière (1740–1766)","Jean-Baptiste Lemoyne the Younger","http://images.metmuseum.org/CRDImages/es/original/ES4844.jpg"
200663,"50.145.61","Henry IV","Joseph Rosset","http://images.metmuseum.org/CRDImages/es/original/148275.jpg"
200668,"50.145.66","Sabine Houdon (1787–1836)","Jean Antoine Houdon","http://images.metmuseum.org/CRDImages/es/original/DP242660.jpg"
200691,"50.187.15","Carus (Marcus Aurelius Carus)","Josiah Wedgwood","http://images.metmuseum.org/CRDImages/es/original/148917.jpg"
200717,"50.187.42","Portrait of a lady","Antonio Abondio","http://images.metmuseum.org/CRDImages/es/original/149031.jpg"
200718,"50.187.43","Portrait of a lady","Antonio Abondio","http://images.metmuseum.org/CRDImages/es/original/149032.jpg"
200770,"50.211.55","Sauceboat","Vauxhall","http://images.metmuseum.org/CRDImages/es/original/148724.jpg"
201593,"53.201","Cardinal Scipione Borghese (1576–1633)","Giuliano Finelli","http://images.metmuseum.org/CRDImages/es/original/DP249585.jpg"
201876,"55.216.1","Bust of a Spanish nobleman","Alcora factory","http://images.metmuseum.org/CRDImages/es/original/ES1736.jpg"
201893,"56.97","Head of the Virgin Annunciate",,"http://images.metmuseum.org/CRDImages/es/original/161272.jpg"
201925,"56.232","Dr. Elias A. Lowe","Sir Jacob Epstein","http://images.metmuseum.org/CRDImages/es/original/162490.jpg"
202585,"61.220.3","Cream jug (part of a service)","Samuel Hennell","http://images.metmuseum.org/CRDImages/es/original/ES1856.jpg"
203110,"64.101.107","Child","Meissen Manufactory","http://images.metmuseum.org/CRDImages/es/original/183932.jpg"
203111,"64.101.108","Wax model for the bust of a child","Meissen Manufactory","http://images.metmuseum.org/CRDImages/es/original/183932.jpg"
203305,"64.101.418a, b","King George II, 1683–1727 (reigned 1727–60)",,"http://images.metmuseum.org/CRDImages/es/original/DP252832.jpg"
203491,"64.101.648","Bust of Harlequin","Chelsea Porcelain Manufactory","http://images.metmuseum.org/CRDImages/es/original/ES4199.jpg"
203517,"64.101.676 ab","Female bust","Chelsea Porcelain Manufactory","http://images.metmuseum.org/CRDImages/es/original/ES4199.jpg"
203620,"64.101.802","Prince George",,"http://images.metmuseum.org/CRDImages/es/original/ES2031.jpg"
203893,"64.101.1223","Mirror","Johannes Hannart ( Jan Hanat)","http://images.metmuseum.org/CRDImages/es/original/DP105758.jpg"
203904,"64.101.1331a, b","Portrait of George II (reigned 1727–60)",["John van Beaver","Robert Baillie"],"http://images.metmuseum.org/CRDImages/es/original/DP130340.jpg"
204012,"64.101.1630","Louis XV","Jean-Baptiste Lemoyne the Younger","http://images.metmuseum.org/CRDImages/es/original/DT229157.jpg"
204269,"64.164.173","Joseph (from a nativity)",,"http://images.metmuseum.org/CRDImages/es/original/DP105184.jpg"
204684,"66.129a, b","Marquis Jean Deydé (1617–1687)","Christophe Veyrier","http://images.metmuseum.org/CRDImages/es/original/ES4880.jpg"
204706,"66.210a, b","Samuel Bernard (1651–1739)","Guillaume Coustou the Elder","http://images.metmuseum.org/CRDImages/es/original/DP234067.jpg"
204840,"68.82","Bust of Voltaire","Paul-Louis Cyfflé","http://images.metmuseum.org/CRDImages/es/original/189410.jpg"
204850,"68.141.10","Young St. John the Baptist","Antonio Lombardo","http://images.metmuseum.org/CRDImages/es/original/DP200062.jpg"
204856,"68.141.22","Bust of a Roman",,"http://images.metmuseum.org/CRDImages/es/original/ES2179.jpg"
205109,"69.82","Giovanni Andrea Muti","Bernardino Cametti","http://images.metmuseum.org/CRDImages/es/original/191052.jpg"
205149,"69.253","Saint John the Baptist","Mino da Fiesole (Mino di Giovanni)","http://images.metmuseum.org/CRDImages/es/original/192535.jpg"
205258,"1970.265","Cardinal Giuseppe Maria Feroni (1699–1767)","André Jean Lebrun","http://images.metmuseum.org/CRDImages/es/original/195246.jpg"
205459,"1972.61","Voltaire (François Marie Arouet de Voltaire) (1696–1778)","Jean Antoine Houdon","http://images.metmuseum.org/CRDImages/es/original/ES7495.jpg"
205514,"1973.184.1","Georges-Louis-Leclerc, comte de Buffon (1707–1788)","Jean Antoine Houdon","http://images.metmuseum.org/CRDImages/es/original/204908.jpg"
205689,"1974.28.190","Welcome panel",,"http://images.metmuseum.org/CRDImages/es/original/ES2318.jpg"
205710,"1974.232.2","The Happy Family",["Meissen Manufactory","Johann Joachim Kändler"],"http://images.metmuseum.org/CRDImages/es/original/ES2323.jpg"
206036,"1974.356.515","Bust of a laughing boy",["Nymphenburg Porcelain Manufactory","Franz Anton Bustelli"],"http://images.metmuseum.org/CRDImages/es/original/205204.jpg"
206321,"1975.87","Triptych","The Kremlin Armory Workshops, Moscow","http://images.metmuseum.org/CRDImages/es/original/ES4722.jpg"
206345,"1975.433.2","Lady",,"http://images.metmuseum.org/CRDImages/es/original/ES2574.jpg"
206561,"1976.242","Boy as Cupid","Joseph Chinard","http://images.metmuseum.org/CRDImages/es/original/ES2780.jpg"
206710,"1978.1","Bust of a girl veiled and crowned with flowers","Pierre Julien","http://images.metmuseum.org/CRDImages/es/original/ES4832.jpg"
207011,"1982.60.106","Paolo Giordano II Orsini, Duke of Bracciano","Johann Jakob Kornmann","http://images.metmuseum.org/CRDImages/es/original/DT8928.jpg"
207029,"1982.60.126","Girl Braiding her Hair","Barthélemy Prieur","http://images.metmuseum.org/CRDImages/es/original/ES7371.jpg"
207478,"1984.135","Young woman","Mino da Fiesole (Mino di Giovanni)","http://images.metmuseum.org/CRDImages/es/original/237112.jpg"
207491,"1984.364.8","Head of Nijinsky",["Auguste Rodin","Alexis Rudier"],"http://images.metmuseum.org/CRDImages/es/original/241976.jpg"
207543,"1985.333","Pedrolino",["Cozzi manufactory","Johann Esaias Nilson"],"http://images.metmuseum.org/CRDImages/es/original/DP144794.jpg"
207570,"1986.157.1","Saint John the Evangelist","Hendrik-Frans Verbruggen","http://images.metmuseum.org/CRDImages/es/original/239844.jpg"
207683,"1987.87","Girl in a Straw Bonnet","Albert-Ernest Carrier-Belleuse","http://images.metmuseum.org/CRDImages/es/original/DP236921.jpg"
207805,"1989.290","Rachel Fanny Antonina Le Despencer","John Bacon the Younger","http://images.metmuseum.org/CRDImages/es/original/ES4759.jpg"
208148,"1993.332.1","Cosimo III de' Medici (1642–1723), Grand Duke of Tuscany","Giovanni Battista Foggini","http://images.metmuseum.org/CRDImages/es/original/DP246610.jpg"
208173,"1994.42","Portrait of a young woman","Henri, Baron de Triqueti","http://images.metmuseum.org/CRDImages/es/original/ES5473.jpg"
208183,"1994.295a, b","Arthur Wellesley (1769–1852), 1st Duke of Wellington","Sir Francis Chantrey","http://images.metmuseum.org/CRDImages/es/original/ES5535.jpg"
2082,"X.139.1","Cloak Pin",,"http://images.metmuseum.org/CRDImages/ad/original/69013.jpg"
2084,"X.139.3","Cloak Pin",,"http://images.metmuseum.org/CRDImages/ad/original/69015.jpg"
2086,"X.139.5","Cloak Pin",,"http://images.metmuseum.org/CRDImages/ad/original/69017.jpg"
2087,"X.139.6","Cloak Pin",,"http://images.metmuseum.org/CRDImages/ad/original/69018.jpg"
208803,"X.232","Alexander Hamilton","Giuseppe Ceracchi","http://images.metmuseum.org/CRDImages/es/original/118753.jpg"
208887,"1977.22.9","Plate (part of a set)",,"http://images.metmuseum.org/CRDImages/es/original/216404.jpg"
209001,"27.21.5","The Age of Innocence","A. Drury","http://images.metmuseum.org/CRDImages/es/original/66896.jpg"
209075,"1979.275.2","Laurence Sterne (1713–1768)","Joseph Nollekens","http://images.metmuseum.org/CRDImages/es/original/ES2732.jpg"
209124,"41.190.493c","Panel (part of a set)","Nicolas Castille","http://images.metmuseum.org/CRDImages/es/original/129563.jpg"
209190,"1976.422.6","Portrait of a lady","Norbert Michael Schrödl","http://images.metmuseum.org/CRDImages/es/original/216153.jpg"
209422,"1999.341","Bust of a gentleman","John Gibson","http://images.metmuseum.org/CRDImages/es/original/268843.jpg"
210063,"1999.525","Jugate busts of Czarevitch Paul and Maria Feodorovna of Russia",["James Tassie","Empress Maria Feodorovna"],"http://images.metmuseum.org/CRDImages/es/original/DP100528.jpg"
210670,"2000.630.2","Bust of a young woman","Jean-Pierre Dantan the Younger","http://images.metmuseum.org/CRDImages/es/original/ES7905.jpg"
211509,"2003.130","Ferdinand Barbedienne",,"http://images.metmuseum.org/CRDImages/es/original/SF2003_130.jpg"
217360,"09.50.2756","Portrait of a child",,"http://images.metmuseum.org/CRDImages/es/original/AR774.jpg"
21986,"04.3.235a, b","Visored Bascinet",,"http://images.metmuseum.org/CRDImages/aa/original/sfeah04-3-235CRs4.jpg"
219919,"17.92.3","Pictorial print",,"http://images.metmuseum.org/CRDImages/es/original/35963.jpg"
221474,"23.163.3","Head of a Woman",["Morris & Company","Sir Edward Burne-Jones","Merton Abbey Tapestry Works"],"http://images.metmuseum.org/CRDImages/es/original/SC77394.jpg"
221525,"24.109.101","Stuart's Faneuil Hall portrait of Washington",,"http://images.metmuseum.org/CRDImages/es/original/DP2600.jpg"
227726,"53.225.9","The Festival of Psyche, with Bacchus from a set of Mythological Subjects after Giulio Romano",["Giulio Romano","Louis XIV, King of France","Manufacture Nationale des Gobelins","Antoine Coypel","Jean Jans the Younger","Bon Boullogne"],"http://images.metmuseum.org/CRDImages/es/original/173274.jpg"
227729,"53.225.14","Anthony Van Dyck, Self Portrait",["Anthony van Dyck","Imperial Russian Tapestry Manufactory, Saint Petersburg"],"http://images.metmuseum.org/CRDImages/es/original/173288.jpg"
228851,"62.105","Portrait of Countess Elizabeth Romanovna Vorontsova (1739–1792)",["Imperial Russian Tapestry Manufactory, Saint Petersburg","Jean Baptiste Rondet"],"http://images.metmuseum.org/CRDImages/es/original/176539.jpg"
228882,"63.55.1","Piece","D. Richards","http://images.metmuseum.org/CRDImages/es/original/177128.jpg"
229059,"64.101.1363","Burse",,"http://images.metmuseum.org/CRDImages/es/original/DP158601.jpg"
232048,"48.187.121a, b","Box (one of a pair) (part of a toilet service)","Jean-Baptiste Boullemer","http://images.metmuseum.org/CRDImages/es/original/146013.jpg"
2330,"83.2.326a","Portrait Miniature of the Marquis de Lafayette",,"http://images.metmuseum.org/CRDImages/ad/original/25676.jpg"
239903,"74.51.318","Glass double head-shaped flask",,"http://images.metmuseum.org/CRDImages/gr/original/DP233495.jpg"
239949,"74.51.364","Terracotta pyxis (cosmetic box)",,"http://images.metmuseum.org/CRDImages/gr/original/GR384_74.51.364.jpg"
240994,"74.51.1439","Head of a deity (Melqart?)",,"http://images.metmuseum.org/CRDImages/gr/original/DP100578.jpg"
240998,"74.51.1443","Terracotta head of a man",,"http://images.metmuseum.org/CRDImages/gr/original/GR334_74.51.1443.jpg"
241001,"74.51.1446","Male head",,"http://images.metmuseum.org/CRDImages/gr/original/DP101545.jpg"
241002,"74.51.1447","Male head wearing a helmet",,"http://images.metmuseum.org/CRDImages/gr/original/DP101547.jpg"
241003,"74.51.1448","Terracotta head of a boy",,"http://images.metmuseum.org/CRDImages/gr/original/DP101548.jpg"
241006,"74.51.1451","Terracotta head with wreath",,"http://images.metmuseum.org/CRDImages/gr/original/DP105446.jpg"
241023,"74.51.1468","Male head",,"http://images.metmuseum.org/CRDImages/gr/original/DP101562.jpg"
241024,"74.51.1469","Fragment of a terracotta head",,"http://images.metmuseum.org/CRDImages/gr/original/DP101563.jpg"
241026,"74.51.1471","Terracotta male head",,"http://images.metmuseum.org/CRDImages/gr/original/GR309_74.51.1471.jpg"
241027,"74.51.1472","Head of a boy",,"http://images.metmuseum.org/CRDImages/gr/original/DP104663.jpg"
241030,"74.51.1475","Terracotta head of a man wearing a wreath",,"http://images.metmuseum.org/CRDImages/gr/original/GR352_74.51.1475.jpg"
241032,"74.51.1477","Female protome-mask",,"http://images.metmuseum.org/CRDImages/gr/original/DP104665.jpg"
241036,"74.51.1481","Head of a warrior",,"http://images.metmuseum.org/CRDImages/gr/original/DP101567.jpg"
241040,"74.51.1485","Male head",,"http://images.metmuseum.org/CRDImages/gr/original/DP101571.jpg"
241044,"74.51.1489","Terracotta male head",,"http://images.metmuseum.org/CRDImages/gr/original/DP100593.jpg"
241045,"74.51.1490","Terracotta head of a goddess",,"http://images.metmuseum.org/CRDImages/gr/original/DP100594.jpg"
241047,"74.51.1492","Terracotta head of a veiled woman",,"http://images.metmuseum.org/CRDImages/gr/original/DP101913.jpg"
241050,"74.51.1495","Terracotta head of an old woman",,"http://images.metmuseum.org/CRDImages/gr/original/DP100598.jpg"
241051,"74.51.1496","Head of Silenos",,"http://images.metmuseum.org/CRDImages/gr/original/DP100599.jpg"
241052,"74.51.1497","Head of a satyr",,"http://images.metmuseum.org/CRDImages/gr/original/DP100601.jpg"
241053,"74.51.1498","Head of a comic figurine",,"http://images.metmuseum.org/CRDImages/gr/original/DP101581.jpg"
241054,"74.51.1498a","Head of a comic figurine",,"http://images.metmuseum.org/CRDImages/gr/original/DP101582.jpg"
241057,"74.51.1501","Head of a comic figurine",,"http://images.metmuseum.org/CRDImages/gr/original/DP104666.jpg"
241063,"74.51.1507","Terracotta female head",,"http://images.metmuseum.org/CRDImages/gr/original/DP100612.jpg"
241067,"74.51.1511","Terracotta head of a youth with a goat headdress",,"http://images.metmuseum.org/CRDImages/gr/original/DP100616.jpg"
241072,"74.51.1516","Terracotta head of a woman",,"http://images.metmuseum.org/CRDImages/gr/original/DP100622.jpg"
241073,"74.51.1517","Head of a boy",,"http://images.metmuseum.org/CRDImages/gr/original/DP100623.jpg"
241074,"74.51.1518","Head of a boy",,"http://images.metmuseum.org/CRDImages/gr/original/DP100624.jpg"
241078,"74.51.1522","Female head, perhaps from a standing tambourine player",,"http://images.metmuseum.org/CRDImages/gr/original/DP101610.jpg"
241081,"74.51.1525","Female head",,"http://images.metmuseum.org/CRDImages/gr/original/DP101370.jpg"
241082,"74.51.1526","Male head",,"http://images.metmuseum.org/CRDImages/gr/original/DP101371.jpg"
241089,"74.51.1533","Terracotta head of a goddess",,"http://images.metmuseum.org/CRDImages/gr/original/DP101621.jpg"
241097,"74.51.1541","Terracotta statuette of woman with bird face",,"http://images.metmuseum.org/CRDImages/gr/original/DT11735.jpg"
241257,"74.51.1702","Male head wearing a helmet",,"http://images.metmuseum.org/CRDImages/gr/original/DP101753.jpg"
241316,"74.51.1761","Terracotta mask in the shape of the head of a fox, dog, or bat",,"http://images.metmuseum.org/CRDImages/gr/original/DP101801.jpg"
241917,"74.51.2363","Head and upper body of a female figurine",,"http://images.metmuseum.org/CRDImages/gr/original/DP101841.jpg"
241968,"74.51.2414","Limestone funerary cippus (tomb marker)",,"http://images.metmuseum.org/CRDImages/gr/original/DP273896.jpg"
242014,"74.51.2461","Limestone statue of a bearded man with votive offerings",,"http://images.metmuseum.org/CRDImages/gr/original/DT201085.jpg"
242043,"74.51.2492","Limestone head of a beardless male wearing a conical helmet",,"http://images.metmuseum.org/CRDImages/gr/original/DP157055.jpg"
242069,"74.51.2518","Limestone head of a beardless man",,"http://images.metmuseum.org/CRDImages/gr/original/DP121747.jpg"
242108,"74.51.2557","Limestone head of a man wearing a helmet",,"http://images.metmuseum.org/CRDImages/gr/original/DP121752.jpg"
242143,"74.51.2592","Limestone head of a man with a plain headdress",,"http://images.metmuseum.org/CRDImages/gr/original/DP121759.jpg"
242181,"74.51.2630","Limestone head of a beardless male votary",,"http://images.metmuseum.org/CRDImages/gr/original/DP158511.jpg"
242183,"74.51.2632","Limestone head of male votary with fillet",,"http://images.metmuseum.org/CRDImages/gr/original/DP263918.jpg"
242195,"74.51.2644","Limestone head of a beardless male votary with a wreath of leaves",,"http://images.metmuseum.org/CRDImages/gr/original/DP161892.jpg"
242201,"74.51.2650","Limestone head of a beardless male votary with a wreath of rosettes",,"http://images.metmuseum.org/CRDImages/gr/original/DP162306.jpg"
242206,"74.51.2655","Limestone head of Herakles",,"http://images.metmuseum.org/CRDImages/gr/original/DP115278.jpg"
242208,"74.51.2657","Limestone head of Herakles wearing the lion skin",,"http://images.metmuseum.org/CRDImages/gr/original/DP158518.jpg"
242233,"74.51.2682","Limestone head of a beardless male votary with a wreath of leaves",,"http://images.metmuseum.org/CRDImages/gr/original/DP159445.jpg"
242239,"74.51.2688","Limestone head of the god Hermes (?)",,"http://images.metmuseum.org/CRDImages/gr/original/DP159447.jpg"
242240,"74.51.2689","Limestone head of a warrior wearing a crested helmet",,"http://images.metmuseum.org/CRDImages/gr/original/DP115280.jpg"
242241,"74.51.2690","Limestone head of a beardless male votary",,"http://images.metmuseum.org/CRDImages/gr/original/DP159448.jpg"
242336,"74.51.2785","Limestone head of a wreathed youth",,"http://images.metmuseum.org/CRDImages/gr/original/DP117166.jpg"
242339,"74.51.2788","Limestone head of a bearded male votary",,"http://images.metmuseum.org/CRDImages/gr/original/DP208987.jpg"
242344,"74.51.2793","Limestone head of a beardless male votary with a wreath of leaves",,"http://images.metmuseum.org/CRDImages/gr/original/DP202650.jpg"
242350,"74.51.2799","Limestone head of beardless male votary",,"http://images.metmuseum.org/CRDImages/gr/original/DP206623.jpg"
242354,"74.51.2803","Limestone head of beardless male votary with wreath of leaves",,"http://images.metmuseum.org/CRDImages/gr/original/DT241327.jpg"
242357,"74.51.2806","Limestone head of beardless male votary with wreath of leaves",,"http://images.metmuseum.org/CRDImages/gr/original/DT241329.jpg"
242358,"74.51.2807","Limestone head of a veiled female votary",,"http://images.metmuseum.org/CRDImages/gr/original/DP203153.jpg"
242359,"74.51.2808","Limestone beardless male head with a wreath of rosettes",,"http://images.metmuseum.org/CRDImages/gr/original/DP207008.jpg"
242367,"74.51.2816","Limestone head of a beardless male votary with a wreath of rosettes",,"http://images.metmuseum.org/CRDImages/gr/original/DP162827.jpg"
242369,"74.51.2818","Limestone head of a female votary",,"http://images.metmuseum.org/CRDImages/gr/original/DP209471.jpg"
242374,"74.51.2823","Limestone bearded head with a wreath of leaves",,"http://images.metmuseum.org/CRDImages/gr/original/DP165214.jpg"
242378,"74.51.2827","Limestone head of a bearded male with a wreath of leaves",,"http://images.metmuseum.org/CRDImages/gr/original/DP165216.jpg"
242380,"74.51.2829","Limestone head of a bearded man from a funerary stele",,"http://images.metmuseum.org/CRDImages/gr/original/DP165217.jpg"
242383,"74.51.2832","Limestone beardless male head with ivy wreath",,"http://images.metmuseum.org/CRDImages/gr/original/DP263937.jpg"
242385,"74.51.2834","Limestone head of a beardless male votary with a wreath of leaves",,"http://images.metmuseum.org/CRDImages/gr/original/DP135200.jpg"
242397,"74.51.2846","Limestone head of a beardless male",,"http://images.metmuseum.org/CRDImages/gr/original/DP162970.jpg"
242400,"74.51.2849","Limestone head of a bearded male wearing a conical helmet",,"http://images.metmuseum.org/CRDImages/gr/original/DP209473.jpg"
242408,"74.51.2857","Limestone head of a bearded man",,"http://images.metmuseum.org/CRDImages/gr/original/DP263942.jpg"
242410,"74.51.2859","Limestone head of a beardless male with a diadem",,"http://images.metmuseum.org/CRDImages/gr/original/DP208989.jpg"
242413,"74.51.2863","Limestone head of a beardless male with a diadem",,"http://images.metmuseum.org/CRDImages/gr/original/DP206631.jpg"
242419,"74.51.2869","Limestone head of a beardless male with a fillet",,"http://images.metmuseum.org/CRDImages/gr/original/DP208984.jpg"
242420,"74.51.2870","Fragment of a limestone head of a bearded male with a plain headdress",,"http://images.metmuseum.org/CRDImages/gr/original/DP165219.jpg"
