id,accession number,title,who,image,when,date,numTags,whatString,collPage,gallery-id,,,,,,,,,,,,,,,
252531,26.60.67,Cameo glass fragment,,http://images.metmuseum.org/CRDImages/gr/original/DP155138.jpg,A.D. 1-500,1st half of 1st century A.D.,1,"[""Sculpture"",""Glass"",""Fragments"",""Cameos""]",http://www.metmuseum.org/Collections/search-the-collections/252531,166,,,,,,,,,,,,,,,
254698,52.11.6,Bronze portrait bust of a Roman matron,,http://images.metmuseum.org/CRDImages/gr/original/29B_R41R4.jpg,A.D. 1-500,ca. A.D. 20â€“50,1,"[""Metal"",""Copper alloy"",""Bronze"",""Figures"",""Busts""]",http://www.metmuseum.org/Collections/search-the-collections/254698,166,,,,,,,,,,,,,,,
257433,2000.38,Marble head of an elderly woman,,http://images.metmuseum.org/CRDImages/gr/original/9 Cat. no. I.04R1_98Q.jpg,1000 B.C.-A.D. 1,ca. 40â€“20 B.C.,1,"[""Sculpture"",""Stone"",""Marble""]",http://www.metmuseum.org/Collections/search-the-collections/257433,166,,,,,,,,,,,,,,,
250686,18.145.21,Bronze appliquÃ© in the form of a bust of a barbarian,,http://images.metmuseum.org/CRDImages/gr/original/DP20577.jpg,A.D. 1-500,late 1stâ€“2nd century A.D.,1,"[""Metal"",""Copper alloy"",""Bronze"",""Figures"",""Busts""]",http://www.metmuseum.org/Collections/search-the-collections/250686,168,,,,,,,,,,,,,,,
245375,81.10.223,Glass double head-shaped jug,,http://images.metmuseum.org/CRDImages/gr/original/DP107005.jpg,A.D. 1-500,1st half of 4th century A.D.,1,"[""Glass"",""Flasks""]",http://www.metmuseum.org/Collections/search-the-collections/245375,169,,,,,,,,,,,,,,,
247117,5.3,Bronze statue of the emperor Trebonianus Gallus,,http://images.metmuseum.org/CRDImages/gr/original/DP138716.jpg,A.D. 1-500,A.D. 251â€“253,1,"[""Metal"",""Sculpture"",""Copper alloy"",""Bronze"",""Statues""]",http://www.metmuseum.org/Collections/search-the-collections/247117,169,,,,,,,,,,,,,,,
252512,26.60.47a,Marble sarcophagus fragment: head and torso of a Gaul,,http://images.metmuseum.org/CRDImages/gr/original/78072.jpg,A.D. 1-500,A.D. 160â€“180,1,"[""Sculpture"",""Fragments"",""Stone"",""Marble"",""Funerary containers"",""Coffins"",""Sarcophagi""]",http://www.metmuseum.org/Collections/search-the-collections/252512,169,,,,,,,,,,,,,,,
254855,56.145,Marble sarcophagus with flying erotes holding a clipeus portrait,,http://images.metmuseum.org/CRDImages/gr/original/DP240110.jpg,A.D. 1-500,ca. A.D. 190â€“200,5,"[""Sculpture"",""Stone"",""Marble"",""Medallions"",""Funerary containers"",""Coffins"",""Sarcophagi""]",http://www.metmuseum.org/Collections/search-the-collections/254855,169,,,,,,,,,,,,,,,
257874,2012.479.1,Glass head flask,,http://images.metmuseum.org/CRDImages/gr/original/DP286313.jpg,A.D. 1-500,4th century A.D.,1,"[""Vessels"",""Glass"",""Jugs""]",http://www.metmuseum.org/Collections/search-the-collections/257874,169,,,,,,,,,,,,,,,
258540,2011.87,Marble portrait bust of Severus Alexander,,http://images.metmuseum.org/CRDImages/gr/original/DP267647.jpg,A.D. 1-500,ca. A.D. 230â€“235,1,"[""Sculpture"",""Stone"",""Figures"",""Marble"",""Busts""]",http://www.metmuseum.org/Collections/search-the-collections/258540,169,,,,,,,,,,,,,,,
246138,"96.9.50a, b",Terracotta canopic urn,,http://images.metmuseum.org/CRDImages/gr/original/DP250469.jpg,1000 B.C.-A.D. 1,6th century B.C.,1,"[""Clay"",""Vessels"",""Vases"",""Terracotta"",""Urns""]",http://www.metmuseum.org/Collections/search-the-collections/246138,170,,,,,,,,,,,,,,,
246650,96.18.154,Terracotta antefix (roof tile) with head of a woman,,http://images.metmuseum.org/CRDImages/gr/original/DP2044.jpg,1000 B.C.-A.D. 1,early 5th century B.C.,1,"[""Clay"",""Terracotta"",""Antefixes""]",http://www.metmuseum.org/Collections/search-the-collections/246650,170,,,,,,,,,,,,,,,
246654,96.18.158,Terracotta antefix (roof tile) with head of a maenad,,http://images.metmuseum.org/CRDImages/gr/original/DP251364.jpg,1000 B.C.-A.D. 1,late 4th century B.C.,1,"[""Clay"",""Terracotta"",""Antefixes""]",http://www.metmuseum.org/Collections/search-the-collections/246654,170,,,,,,,,,,,,,,,
246656,96.18.160,Terracotta antefix (roof tile) with head of a satyr,,http://images.metmuseum.org/CRDImages/gr/original/DP251366.jpg,1000 B.C.-A.D. 1,4th century B.C.,1,"[""Clay"",""Terracotta"",""Antefixes""]",http://www.metmuseum.org/Collections/search-the-collections/246656,170,,,,,,,,,,,,,,,
246668,96.18.173,Terracotta head of a youth,,http://images.metmuseum.org/CRDImages/gr/original/DP254648.jpg,1000 B.C.-A.D. 1,3rdâ€“2nd century B.C.,1,"[""Clay"",""Terracotta""]",http://www.metmuseum.org/Collections/search-the-collections/246668,170,,,,,,,,,,,,,,,
247367,06.1021.204,Terracotta vase with janiform heads,,http://images.metmuseum.org/CRDImages/gr/original/DP252115.jpg,1000 B.C.-A.D. 1,4th century B.C.,1,"[""Clay"",""Vessels"",""Vases"",""Terracotta""]",http://www.metmuseum.org/Collections/search-the-collections/247367,170,,,,,,,,,,,,,,,
249091,16.141,Terracotta statue of a young woman,,http://images.metmuseum.org/CRDImages/gr/original/DP119671.jpg,1000 B.C.-A.D. 1,late 4thâ€“early 3rd century B.C.,1,"[""Sculpture"",""Clay"",""Terracotta"",""Statues""]",http://www.metmuseum.org/Collections/search-the-collections/249091,170,,,,,,,,,,,,,,,
249223,17.190.2067,Carved amber bow of a fibula (safety pin),,http://images.metmuseum.org/CRDImages/gr/original/DP109258.jpg,1000 B.C.-A.D. 1,ca. 500 B.C.,2,"[""Sculpture"",""Reliefs"",""Resin"",""Amber""]",http://www.metmuseum.org/Collections/search-the-collections/249223,170,,,,,,,,,,,,,,,
250789,19.192.56,Bronze attachment with satyr head,,http://images.metmuseum.org/CRDImages/gr/original/DP248169.jpg,1000 B.C.-A.D. 1,late 6th century B.C.,1,"[""Metal"",""Copper alloy"",""Bronze"",""Figures"",""Busts""]",http://www.metmuseum.org/Collections/search-the-collections/250789,170,,,,,,,,,,,,,,,
251472,24.97.10,Tufa head of sphinx or siren,,http://images.metmuseum.org/CRDImages/gr/original/DP258360.jpg,1000 B.C.-A.D. 1,ca. 550â€“525 B.C.,1,"[""Sculpture"",""Stone"",""Limestone"",""Tufa""]",http://www.metmuseum.org/Collections/search-the-collections/251472,170,,,,,,,,,,,,,,,
258094,2008.332,Alabaster alabastron (perfume vase),,http://images.metmuseum.org/CRDImages/gr/original/DP202091.jpg,1000 B.C.-A.D. 1,early 6th century B.C.,1,"[""Vessels"",""Vases"",""Stone"",""Gypsum"",""Alabaster"",""Alabastra""]",http://www.metmuseum.org/Collections/search-the-collections/258094,170,,,,,,,,,,,,,,,
241003,74.51.1448,Terracotta head of a boy,,http://images.metmuseum.org/CRDImages/gr/original/DP101548.jpg,1000 B.C.-A.D. 1,early 3rd century B.C.,1,"[""Clay"",""Terracotta""]",http://www.metmuseum.org/Collections/search-the-collections/241003,171,,,,,,,,,,,,,,,
241024,74.51.1469,Fragment of a terracotta head,,http://images.metmuseum.org/CRDImages/gr/original/DP101563.jpg,1000 B.C.-A.D. 1,4th century B.C.,1,"[""Clay"",""Terracotta""]",http://www.metmuseum.org/Collections/search-the-collections/241024,171,,,,,,,,,,,,,,,
241044,74.51.1489,Terracotta male head,,http://images.metmuseum.org/CRDImages/gr/original/DP100593.jpg,1000 B.C.-A.D. 1,4th century B.C. (?),1,"[""Clay"",""Terracotta""]",http://www.metmuseum.org/Collections/search-the-collections/241044,171,,,,,,,,,,,,,,,
241045,74.51.1490,Terracotta head of a goddess,,http://images.metmuseum.org/CRDImages/gr/original/DP100594.jpg,1000 B.C.-A.D. 1,4th century B.C.,1,"[""Clay"",""Terracotta""]",http://www.metmuseum.org/Collections/search-the-collections/241045,171,,,,,,,,,,,,,,,
241047,74.51.1492,Terracotta head of a veiled woman,,http://images.metmuseum.org/CRDImages/gr/original/DP101913.jpg,1000 B.C.-A.D. 1,3rd century B.C.,1,"[""Clay"",""Terracotta""]",http://www.metmuseum.org/Collections/search-the-collections/241047,171,,,,,,,,,,,,,,,
241063,74.51.1507,Terracotta female head,,http://images.metmuseum.org/CRDImages/gr/original/DP100612.jpg,1000 B.C.-A.D. 1,2ndâ€“1st century B.C.,1,"[""Clay"",""Terracotta""]",http://www.metmuseum.org/Collections/search-the-collections/241063,171,,,,,,,,,,,,,,,
241067,74.51.1511,Terracotta head of a youth with a goat headdress,,http://images.metmuseum.org/CRDImages/gr/original/DP100616.jpg,1000 B.C.-A.D. 1,4thâ€“3rd century B.C. (?),1,"[""Clay"",""Terracotta""]",http://www.metmuseum.org/Collections/search-the-collections/241067,171,,,,,,,,,,,,,,,
241072,74.51.1516,Terracotta head of a woman,,http://images.metmuseum.org/CRDImages/gr/original/DP100622.jpg,1000 B.C.-A.D. 1,3rdâ€“2nd century B.C.,1,"[""Clay"",""Terracotta""]",http://www.metmuseum.org/Collections/search-the-collections/241072,171,,,,,,,,,,,,,,,
241089,74.51.1533,Terracotta head of a goddess,,http://images.metmuseum.org/CRDImages/gr/original/DP101621.jpg,1000 B.C.-A.D. 1,3rd century B.C.,1,"[""Clay"",""Terracotta""]",http://www.metmuseum.org/Collections/search-the-collections/241089,171,,,,,,,,,,,,,,,
241316,74.51.1761,"Terracotta mask in the shape of the head of a fox, dog, or bat",,http://images.metmuseum.org/CRDImages/gr/original/DP101801.jpg,1000 B.C.-A.D. 1,ca. 600â€“480 B.C.,1,"[""Costume"",""Clay"",""Terracotta"",""Medallions"",""Masks""]",http://www.metmuseum.org/Collections/search-the-collections/241316,171,,,,,,,,,,,,,,,
242069,74.51.2518,Limestone head of a beardless man,,http://images.metmuseum.org/CRDImages/gr/original/DP121747.jpg,1000 B.C.-A.D. 1,ca.530-520 B.C.,1,"[""Sculpture"",""Stone"",""Limestone""]",http://www.metmuseum.org/Collections/search-the-collections/242069,171,,,,,,,,,,,,,,,
242108,74.51.2557,Limestone head of a man wearing a helmet,,http://images.metmuseum.org/CRDImages/gr/original/DP121752.jpg,1000 B.C.-A.D. 1,middle or 3rd quarter of the 6th century B.C.,1,"[""Sculpture"",""Stone"",""Limestone"",""Assyrian""]",http://www.metmuseum.org/Collections/search-the-collections/242108,171,,,,,,,,,,,,,,,
242143,74.51.2592,Limestone head of a man with a plain headdress,,http://images.metmuseum.org/CRDImages/gr/original/DP121759.jpg,1000 B.C.-A.D. 1,early 6th century B.C.,1,"[""Sculpture"",""Stone"",""Limestone""]",http://www.metmuseum.org/Collections/search-the-collections/242143,171,,,,,,,,,,,,,,,
242206,74.51.2655,Limestone head of Herakles,,http://images.metmuseum.org/CRDImages/gr/original/DP115278.jpg,1000 B.C.-A.D. 1,6th century B.C.,1,"[""Sculpture"",""Stone"",""Limestone""]",http://www.metmuseum.org/Collections/search-the-collections/242206,171,,,,,,,,,,,,,,,
